"Freq [GHz]","dB(S(hDipole1_1_p1,hDipole2_1_p1)) []"
1,-59.6495657982485
1.03030303030303,-59.3664813555456
1.06060606060606,-59.2958478893666
1.09090909090909,-59.5169951236299
1.12121212121212,-59.834976154518
1.15151515151515,-59.8511064272099
1.18181818181818,-59.3243277475434
1.21212121212121,-58.4817560791765
1.24242424242424,-57.7460980283733
1.27272727272727,-57.3728541560266
1.3030303030303,-57.3173204353657
1.33333333333333,-57.1483232805715
1.36363636363636,-56.7238405360846
1.39393939393939,-56.0289094481193
1.42424242424242,-55.3660800066514
1.45454545454545,-55.0230237329295
1.48484848484849,-55.0690445220882
1.51515151515152,-55.3191634982937
1.54545454545455,-55.4299514428085
1.57575757575758,-55.2116201274118
1.60606060606061,-55.023141243011
1.63636363636364,-55.7587171091078
1.66666666666667,-56.8118705706442
1.6969696969697,-58.1061795151986
1.72727272727273,-59.336294265583
1.75757575757576,-60.1806840499315
1.78787878787879,-60.6518645415024
1.81818181818182,-61.0749682892392
1.84848484848485,-61.7540183067913
1.87878787878788,-62.7697028638643
1.90909090909091,-63.6736879813961
1.93939393939394,-63.768419742091
1.96969696969697,-63.5294034453492
2,-63.1527627913984
2.03030303030303,-62.9582939528283
2.06060606060606,-63.1126759340475
2.09090909090909,-63.5397399484617
2.12121212121212,-63.9579174096907
2.15151515151515,-64.0976287290201
2.18181818181818,-63.9852845361297
2.21212121212121,-63.9692826284151
2.24242424242424,-64.325410578772
2.27272727272727,-64.9772113926608
2.3030303030303,-65.7091947898217
2.33333333333333,-66.1848042001312
2.36363636363636,-66.2606322432286
2.39393939393939,-66.1467708001153
2.42424242424242,-66.1638695915781
2.45454545454545,-66.4709573662821
2.48484848484848,-66.9759924937208
2.51515151515152,-67.4807334799776
2.54545454545455,-67.7395514353729
2.57575757575758,-67.7349815765291
2.60606060606061,-67.7807356351981
2.63636363636364,-68.1266141324966
2.66666666666667,-68.7937884241712
2.6969696969697,-69.5696784524733
2.72727272727273,-70.1489223861908
2.75757575757576,-70.4256082196261
2.78787878787879,-70.6173048885804
2.81818181818182,-70.5752573117328
2.84848484848485,-70.5775510519126
2.87878787878788,-70.7972022841163
2.90909090909091,-70.9172959954653
2.93939393939394,-70.6823547442
2.96969696969697,-70.1748351300759
3,-69.7153650640503
3.03030303030303,-69.5402426839277
3.06060606060606,-69.6424285121338
3.09090909090909,-69.7793040431373
3.12121212121212,-69.9978717380218
3.15151515151515,-70.0097733860166
3.18181818181818,-69.9271431560572
3.21212121212121,-70.0714935654094
3.24242424242424,-70.5629696136992
3.27272727272727,-71.2610216389308
3.3030303030303,-71.8529653013988
3.33333333333333,-72.1095277929861
3.36363636363636,-72.1497277417525
3.39393939393939,-72.3094316143884
3.42424242424242,-72.8126366538121
3.45454545454545,-73.62548523164
3.48484848484848,-74.4714077625088
3.51515151515152,-75.0103123146114
3.54545454545455,-75.1807626157573
3.57575757575758,-75.2807742346707
3.60606060606061,-75.6381511952672
3.63636363636364,-76.34493191357
3.66666666666667,-77.214456027372
3.6969696969697,-77.8845032682214
3.72727272727273,-77.3590973678929
3.75757575757576,-76.5163468899569
3.78787878787879,-75.8366146458703
3.81818181818182,-75.5546165942616
3.84848484848485,-75.6080527406648
3.87878787878788,-75.6832580202898
3.90909090909091,-75.4216455611279
3.93939393939394,-74.7963044641076
3.96969696969697,-74.1755778386662
4,-73.9156195193244
